variable,abs_delta
Stance_time:,0.3412774187230709
Step_time:,0.3039071680376028
Supp_time_Single:,0.29001419898159025
Swing_time:,0.2897081864473169
Step_length:,0.1895074422248335
Stride_length:,0.17278691735213472
Stride_velocity:,0.15153740697218956
Supp_base:,0.14509890325107716
Supp_time_Double:,0.10758176654915785
Stride_time:,0.09851155503329417
